taxon,taxon1,taxon2,genus,tribe,subfamily,family,order,class,agg.ssp,rand.type,poly.ins
Sundamomum_somniculosum,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_durum,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Sundamomum_calyptratum,,,Sundamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Lanxangia_scarlatina,,,Lanxangia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Lanxangia_tsaoko,,,Lanxangia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Lanxangia_paratsaoko,,,Lanxangia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Lanxangia_coriandriodora,,,Lanxangia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Epiamomum_roseisquamosum,,,Epiamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Epiamomum_angustipetalum,,,Epiamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_jainii,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_vera,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_testacea,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_tenella,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_staminidiva,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_schmidtii,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_micrantha,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_glabrifolia,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_neoaurantiaca,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_microcarpa,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_longiligularis,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_palawanensis,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_uliginosa,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_quadratolaminaris,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_compacta,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Wurfbainia_villosa,,,Wurfbainia,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_tomrey,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_stephanocolea,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_sceletescens,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_ochrea,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_mentawaiensis,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_chinensis,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_cerasina,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_celsa,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_calcarata,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_sahyadrica,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_muricata,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_cannicarpa,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_ghatica,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_masticatorum,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_fulviceps,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_echinocarpa,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_acuminata,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_dallachyi,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_aculeata,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_verrucosa,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_muricarpa,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_yunannensis,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_propinqua,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_koenigii,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_oligantha,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_gyrolophos,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_lappacea,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Meistera_kinabaluensis,,,Meistera,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Conamomum_xanthophlebium,,,Conamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Conamomum_pierreanum,,,Conamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Conamomum_cylindrostachys,,,Conamomum,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Haplochorema_uniflorum,,,Haplochorema,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Haplochorema_pauciflorum,,,Haplochorema,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Borneocola_biru,,,Borneocola,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Borneocola_stenophyllus,,,Borneocola,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Borneocola_reticosus,,,Borneocola,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Borneocola_petiolatus,,,Borneocola,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Borneocola_calcicola,,,Borneocola,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_appendiculatus,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_secunda,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_sikkimensis,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_linearis,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_limianus,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_coenobialis,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Monolophus_saxicola,,,Monolophus,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Newmania_serpens,,,Newmania,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
Newmania_orthostachys,,,Newmania,,,Zingiberaceae,Zingiberales,Magnoliopsida,,,
