"taxon","genus","tribe","subfamily","family","order","class"
"Trachypithecus_vetulus","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Semnopithecus_hector","Semnopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Semnopithecus_entellus","Semnopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Semnopithecus_hypoleucos","Semnopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Trachypithecus_johnii","Trachypithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Semnopithecus_priam","Semnopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_thomasi","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_potenziani","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_comata","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_melalophos","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_rubicunda","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_chrysomelas","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Presbytis_frontata","Presbytis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Rhinopithecus_strykeri","Rhinopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Rhinopithecus_bieti","Rhinopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Rhinopithecus_avunculus","Rhinopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Rhinopithecus_brelichi","Rhinopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Rhinopithecus_roxellana","Rhinopithecus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Pygathrix_nemaeus","Pygathrix",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Pygathrix_cinerea","Pygathrix",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Pygathrix_nigripes","Pygathrix",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Simias_concolor","Simias",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Nasalis_larvatus","Nasalis",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Procolobus_verus","Procolobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Procolobus_badius","Procolobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Colobus_satanas","Colobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Colobus_polykomos","Colobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Colobus_guereza","Colobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Colobus_angolensis","Colobus",,"Colobinae","Cercopithecidae","Primates","Mammalia"
"Macaca_sylvanus","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_siberu","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_silenus","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_pagensis","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_nemestrina","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_leonina","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_hecki","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_maura","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_tonkeana","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_ochreata","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_nigrescens","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_fascicularis","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
"Macaca_cyclopis","Macaca",,"Cercopithecinae","Cercopithecidae","Primates","Mammalia"
