"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Pseudonaja_nuchalis",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_modesta",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_ingrami",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_inframacula",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_guttata",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudonaja_textilis",,,"Pseudonaja",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_weigeli",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_pailsei",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_rossignolii",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_butleri",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_guttatus",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_colletti",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_papuanus",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_porphyriacus",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Pseudechis_australis",,,"Pseudechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Oxyuranus_temporalis",,,"Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Oxyuranus_microlepidotus",,,"Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Oxyuranus_scutellatus",,,"Oxyuranus",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Notechis_ater",,,"Notechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Notechis_scutatus",,,"Notechis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Aspidelaps_lubricus",,,"Aspidelaps",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Aspidelaps_scutatus",,,"Aspidelaps",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_cryptamydros",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_hawkei",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_laevis",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_pyrrhus",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_rugosus",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_wellsi",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_praelongus",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
"Acanthophis_antarcticus",,,"Acanthophis",,"Acanthophiinae","Elapidae","Squamata","Lepidosauria",,,
