"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Leontocebus_cruzlimai",,,"Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontocebus_tripartitus",,,"Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontocebus_nigricollis",,,"Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontocebus_fuscicollis",,,"Leontocebus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_munduruku",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_marcai",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_leucippe",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_intermedius",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_chrysoleucus",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_rondoni",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_melanurus",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_saterei",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_cf._emiliae",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_mauesi",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_humeralifer",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_emiliae",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Mico_argentatus",,,"Mico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontopithecus_chrysopygus",,,"Leontopithecus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontopithecus_chrysomelas",,,"Leontopithecus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Leontopithecus_rosalia",,,"Leontopithecus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Callimico_goeldii",,,"Callimico",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_inustus",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_graellsi",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_melanoleucus",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_martinsi",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_niger",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_leucopus",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_labiatus",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_geoffroyi",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_bicolor",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_midas",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_imperator",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_oedipus",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Saguinus_mystax",,,"Saguinus",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
"Callithrix_flaviceps",,,"Callithrix",,"Callitrichinae","Cebidae","Primates","Mammalia",,,
